prompt_asset,prompt_index,prompt
diffusers_ablation_prompts,0,"a cinematic portrait of an astronaut botanist in a glass greenhouse on Mars, detailed fabric, soft rim light"
diffusers_ablation_prompts,1,"a small brass robot repairing an antique clock in a sunlit workshop, shallow depth of field"
diffusers_ablation_prompts,2,"a watercolor city street after rain with neon signs reflected in puddles, evening atmosphere"
diffusers_ablation_prompts,3,a high resolution studio photo of a ceramic teapot shaped like a seashell on a slate table
diffusers_ablation_prompts,4,"a fantasy library carved inside a giant tree, spiral stairs, warm lanterns, intricate shelves"
diffusers_ablation_prompts,5,"a macro photograph of a snowflake resting on dark wool, crisp crystalline detail"
diffusers_ablation_prompts,6,"a retro futuristic train crossing a desert at sunset, chrome surfaces, long shadows"
diffusers_ablation_prompts,7,"a chef plating a colorful molecular gastronomy dessert, clean restaurant lighting"
diffusers_ablation_prompts,8,"an isometric cozy bedroom with plants, books, a desk lamp, and a rainy window"
diffusers_ablation_prompts,9,"a dramatic mountain monastery above clouds, sunrise, detailed stone architecture"
diffusers_ablation_prompts,10,a fashion editorial photo of a model wearing a translucent raincoat in Tokyo at night
diffusers_ablation_prompts,11,a realistic red fox statue made of folded paper on a white museum pedestal
diffusers_ablation_prompts,12,a detailed cutaway illustration of a tiny submarine exploring a coral reef
diffusers_ablation_prompts,13,a product photo of wireless headphones on brushed aluminum with blue accent lighting
diffusers_ablation_prompts,14,"a medieval market square during a festival, banners, musicians, detailed crowd"
diffusers_ablation_prompts,15,an oil painting of a violinist performing in an empty subway station
diffusers_ablation_prompts,16,"a close-up portrait of an elderly sailor, weathered skin, navy coat, overcast harbor"
diffusers_ablation_prompts,17,a clean architectural rendering of a modern cabin beside a frozen lake
diffusers_ablation_prompts,18,a surreal desert filled with floating glass spheres and distant black mountains
diffusers_ablation_prompts,19,a documentary photo of a scientist collecting ice cores in Antarctica
diffusers_ablation_prompts,20,a detailed 3D render of a mechanical hummingbird with copper wings
diffusers_ablation_prompts,21,"a cozy cafe interior in autumn, pastries, espresso machine, soft morning light"
diffusers_ablation_prompts,22,"a panoramic view of terraced rice fields under mist, workers in colorful clothing"
diffusers_ablation_prompts,23,a children's book illustration of a moonlit boat parade on a quiet canal
diffusers_ablation_prompts,24,"a realistic sports car parked in a concrete tunnel, reflections, low angle"
diffusers_ablation_prompts,25,"a botanical diagram of rare orchids with labeled roots and petals, archival paper"
diffusers_ablation_prompts,26,"a cyberpunk street food stall with steam, lanterns, and dense urban signage"
diffusers_ablation_prompts,27,"a still life of glass fruit bowls, linen cloth, and silver cutlery, natural light"
diffusers_ablation_prompts,28,a heroic statue covered in vines in an abandoned futuristic plaza
diffusers_ablation_prompts,29,a black and white film photograph of dancers rehearsing in a mirror-lined studio
diffusers_ablation_prompts,30,"a detailed scene of a spacecraft cockpit during reentry, glowing controls, tense mood"
diffusers_ablation_prompts,31,a claymation style village bakery with tiny loaves and painted signs
diffusers_ablation_prompts,32,a realistic underwater photograph of a diver inspecting an ancient marble column
diffusers_ablation_prompts,33,"a minimalist poster of a jazz quartet in deep red, cream, and black"
diffusers_ablation_prompts,34,a high detail portrait of a queen wearing armor made of mother of pearl
diffusers_ablation_prompts,35,"a top-down board game map of an island with forests, cliffs, and hidden ruins"
diffusers_ablation_prompts,36,"a luxury watch exploded view on a dark background, precise gears and screws"
diffusers_ablation_prompts,37,"a sunlit greenhouse filled with tomatoes, watering cans, and terracotta pots"
diffusers_ablation_prompts,38,a night landscape of fireflies over a meadow beside a quiet river
diffusers_ablation_prompts,39,a realistic photo of a rescue helicopter landing on a snowy mountain ridge
diffusers_ablation_prompts,40,a concept art scene of a floating research station above Jupiter's clouds
diffusers_ablation_prompts,41,a detailed pencil drawing of an old bicycle leaning against a brick wall
diffusers_ablation_prompts,42,"a museum diorama of prehistoric sea creatures, dramatic educational lighting"
diffusers_ablation_prompts,43,"a peaceful Japanese garden with koi pond, stone bridge, and maple leaves"
diffusers_ablation_prompts,44,"a close-up food photograph of ramen with soft egg, steam, and ceramic bowl"
diffusers_ablation_prompts,45,a vibrant parade costume covered with mirrors and embroidered flowers
diffusers_ablation_prompts,46,a realistic image of a hand-crafted wooden chess set mid game by candlelight
diffusers_ablation_prompts,47,a wide angle view of a data center corridor with blue status lights
diffusers_ablation_prompts,48,a magical realism scene of books flying through an old train carriage
diffusers_ablation_prompts,49,a studio portrait of a golden retriever wearing aviator goggles and a red scarf
