evidence_level,model,solver,schedule,source_schedule_guidance_scale,source_schedule_seed,nfe,guidance_scale,seed,prompt_asset,prompt_index,prompt,image_path,schedule_dir,clip_score,image_reward
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,0,"a cinematic portrait of an astronaut botanist in a glass greenhouse on Mars, detailed fabric, soft rim light",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000000.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,23.086426,-1.845857
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,1,"a small brass robot repairing an antique clock in a sunlit workshop, shallow depth of field",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000001.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,30.507702,-1.636300
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,2,"a watercolor city street after rain with neon signs reflected in puddles, evening atmosphere",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000002.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,27.113510,0.522871
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,3,a high resolution studio photo of a ceramic teapot shaped like a seashell on a slate table,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000003.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,27.391607,-0.216875
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,4,"a fantasy library carved inside a giant tree, spiral stairs, warm lanterns, intricate shelves",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000004.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,31.035131,1.517377
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,5,"a macro photograph of a snowflake resting on dark wool, crisp crystalline detail",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000005.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,29.452873,-0.226266
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,6,"a retro futuristic train crossing a desert at sunset, chrome surfaces, long shadows",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000006.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,29.006063,1.510110
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,7,"a chef plating a colorful molecular gastronomy dessert, clean restaurant lighting",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000007.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,31.906784,0.234392
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,8,"an isometric cozy bedroom with plants, books, a desk lamp, and a rainy window",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000008.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,28.216318,-0.396524
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,9,"a dramatic mountain monastery above clouds, sunrise, detailed stone architecture",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000009.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,30.782307,1.392507
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,10,a fashion editorial photo of a model wearing a translucent raincoat in Tokyo at night,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000010.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,32.947140,1.832466
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,11,a realistic red fox statue made of folded paper on a white museum pedestal,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000011.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,26.769855,-2.266412
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,12,a detailed cutaway illustration of a tiny submarine exploring a coral reef,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000012.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,25.742268,-1.888860
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,13,a product photo of wireless headphones on brushed aluminum with blue accent lighting,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000013.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,29.319160,0.911435
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,14,"a medieval market square during a festival, banners, musicians, detailed crowd",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000014.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,23.972563,0.060857
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,15,an oil painting of a violinist performing in an empty subway station,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000015.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,38.328541,0.097898
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,16,"a close-up portrait of an elderly sailor, weathered skin, navy coat, overcast harbor",outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000016.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,30.061352,-0.794553
actual_sd15_reuse_cfg7p5_seed0_schedule,stable_diffusion_15,euler,D-GPDE-reuse-cfg7p5-seed0,7.5,0,10,5,0,diffusers_ablation_prompts,17,a clean architectural rendering of a modern cabin beside a frozen lake,outputs/gpde_diffusers_sd15_reuse_cfg7p5_seed0_schedule/samples/diffusers/stable_diffusion_15/euler/D-GPDE-reuse-cfg7p5-seed0/cfg_5/seed_000/nfe_010/000017.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_7.5/seed_0/nfe_010,32.118233,0.941223
