backend,model_asset,solver,schedule,nfe,seed,guidance_scale,prompt_index,prompt,image_path,schedule_dir,output_dir,clip_score,image_reward
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,0,"a cinematic portrait of an astronaut botanist in a glass greenhouse on Mars, detailed fabric, soft rim light",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000000.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,25.099164962768555,-1.7715076208114624
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,1,"a small brass robot repairing an antique clock in a sunlit workshop, shallow depth of field",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000001.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,29.276025772094727,-0.26923856139183044
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,2,"a watercolor city street after rain with neon signs reflected in puddles, evening atmosphere",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000002.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,26.569435119628906,0.5499986410140991
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,3,a high resolution studio photo of a ceramic teapot shaped like a seashell on a slate table,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000003.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,31.714296340942383,-0.3931918740272522
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,4,"a fantasy library carved inside a giant tree, spiral stairs, warm lanterns, intricate shelves",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000004.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,28.436342239379883,-0.12267889827489853
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,5,"a macro photograph of a snowflake resting on dark wool, crisp crystalline detail",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000005.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,26.197057723999023,0.1839800477027893
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,6,"a retro futuristic train crossing a desert at sunset, chrome surfaces, long shadows",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000006.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,31.277006149291992,1.7225894927978516
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,7,"a chef plating a colorful molecular gastronomy dessert, clean restaurant lighting",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000007.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,34.89137268066406,0.17848040163516998
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,8,"an isometric cozy bedroom with plants, books, a desk lamp, and a rainy window",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000008.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,27.194612503051758,0.16108490526676178
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,9,"a dramatic mountain monastery above clouds, sunrise, detailed stone architecture",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000009.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,30.57529640197754,1.4225897789001465
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,10,a fashion editorial photo of a model wearing a translucent raincoat in Tokyo at night,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000010.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,33.31869125366211,1.7168285846710205
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,11,a realistic red fox statue made of folded paper on a white museum pedestal,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000011.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,32.91958999633789,1.7693541049957275
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,12,a detailed cutaway illustration of a tiny submarine exploring a coral reef,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000012.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,29.588777542114258,-1.3903958797454834
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,13,a product photo of wireless headphones on brushed aluminum with blue accent lighting,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000013.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,27.0294189453125,0.865252673625946
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,14,"a medieval market square during a festival, banners, musicians, detailed crowd",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000014.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,28.115028381347656,0.2851983606815338
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,15,an oil painting of a violinist performing in an empty subway station,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000015.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,34.798118591308594,1.441028118133545
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,16,"a close-up portrait of an elderly sailor, weathered skin, navy coat, overcast harbor",outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000016.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,30.376392364501953,-0.034518152475357056
diffusers,hf_stable_diffusion_15,euler,GPDE,10,0,10.0,17,a clean architectural rendering of a modern cabin beside a frozen lake,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010/000017.jpg,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/stable_diffusion_15/euler/cfg_10/seed_0/nfe_010,outputs/gpde_diffusers_sd15_nfe10_cfg_seed_sweep/samples/diffusers/stable_diffusion_15/euler/cfg_10/GPDE/seed_000/nfe_010,30.49694061279297,-0.4283369481563568
