backend,model_asset,solver,schedule,nfe,seed,guidance_scale,prompt_index,prompt,image_path,schedule_dir,output_dir,clip_score,image_reward
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,0,"a cinematic portrait of an astronaut botanist in a glass greenhouse on Mars, detailed fabric, soft rim light",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000000.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,34.56598663330078,1.2191611528396606
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,1,"a small brass robot repairing an antique clock in a sunlit workshop, shallow depth of field",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000001.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,28.011459350585938,1.166908860206604
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,2,"a watercolor city street after rain with neon signs reflected in puddles, evening atmosphere",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000002.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,30.002256393432617,0.8357663750648499
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,3,a high resolution studio photo of a ceramic teapot shaped like a seashell on a slate table,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000003.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,29.061275482177734,1.222166657447815
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,4,"a fantasy library carved inside a giant tree, spiral stairs, warm lanterns, intricate shelves",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000004.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,31.876182556152344,1.5461280345916748
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,5,"a macro photograph of a snowflake resting on dark wool, crisp crystalline detail",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000005.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,26.874906539916992,-0.08111932873725891
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,6,"a retro futuristic train crossing a desert at sunset, chrome surfaces, long shadows",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000006.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,27.531888961791992,1.637996792793274
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,7,"a chef plating a colorful molecular gastronomy dessert, clean restaurant lighting",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000007.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,31.306739807128906,-0.1106291189789772
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,8,"an isometric cozy bedroom with plants, books, a desk lamp, and a rainy window",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000008.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,32.34415817260742,0.07025374472141266
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,9,"a dramatic mountain monastery above clouds, sunrise, detailed stone architecture",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000009.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,32.59919738769531,1.8114262819290161
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,10,a fashion editorial photo of a model wearing a translucent raincoat in Tokyo at night,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000010.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,31.86305809020996,1.9658117294311523
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,11,a realistic red fox statue made of folded paper on a white museum pedestal,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000011.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,35.31500244140625,1.935152292251587
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,12,a detailed cutaway illustration of a tiny submarine exploring a coral reef,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000012.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,29.644393920898438,1.6009886264801025
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,13,a product photo of wireless headphones on brushed aluminum with blue accent lighting,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000013.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,29.580379486083984,1.0802149772644043
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,14,"a medieval market square during a festival, banners, musicians, detailed crowd",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000014.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,26.1575870513916,0.085346519947052
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,15,an oil painting of a violinist performing in an empty subway station,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000015.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,38.7818603515625,1.8930734395980835
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,16,"a close-up portrait of an elderly sailor, weathered skin, navy coat, overcast harbor",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000016.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,30.55890464782715,1.5401980876922607
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,17,a clean architectural rendering of a modern cabin beside a frozen lake,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000017.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,36.482059478759766,1.0863827466964722
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,18,a surreal desert filled with floating glass spheres and distant black mountains,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000018.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,33.39263916015625,0.42374879121780396
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,19,a documentary photo of a scientist collecting ice cores in Antarctica,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000019.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,26.785064697265625,-0.7124369740486145
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,20,a detailed 3D render of a mechanical hummingbird with copper wings,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000020.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,40.00855255126953,1.384472131729126
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,21,"a cozy cafe interior in autumn, pastries, espresso machine, soft morning light",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000021.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,27.900606155395508,0.8542400598526001
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,22,"a panoramic view of terraced rice fields under mist, workers in colorful clothing",outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000022.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,27.19913101196289,-0.22651448845863342
diffusers,hf_sdxl_base_10,euler,GPDE,10,0,5.0,23,a children's book illustration of a moonlit boat parade on a quiet canal,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010/000023.jpg,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/schedules/GPDE/diffusers/sdxl/euler/cfg_5/seed_0/nfe_010,outputs/gpde_diffusers_sdxl_nfe10_cfg_seed_sweep/samples/diffusers/sdxl/euler/cfg_5/GPDE/seed_000/nfe_010,33.235557556152344,1.5283088684082031
